0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:46 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:46 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:46 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:46 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:46 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:46 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /board/list?pageNum=3&amount=10&type=&keyword= HTTP/1.1" 200 28868
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:48 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 28893
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:50 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:51 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:46:38 +0900] "GET /board/list HTTP/1.1" 200 28901
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:46:39 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:46:39 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
